ResturantId,ResturantName,ResturantZone,ResturanantAddress,ResturantTiming
10867,WanderCrust Pizzas,Uttarahalli,Delivery Only,8am – 11pm (Mon-Sun)
10868,Khanasutra,JP Nagar,"3rd Floor, Sai Shree Building, 82, Opposite Nilgiris Supermarket, Gottigere Kengeri Road, 8th Phase, JP Nagar, Bangalore","Closed (Mon),11am – 9pm (Tue-Sun)"
10869,New Kshatriya Dum Biryani,Bommasandra,"Chinnappa Layout, Oppsite.A.K.N.Hospital, jigani, Anekal Taluk, Bommasandra, Bengaluru",11am – 9:30pm (Mon-Sun)
10870,Cousin's Bakery,BTM,"244, 7th Cross Road, Mico Layout, Stage 2, BTM Bengaluru",6am – 11:30pm (Mon-Sun)
10871,AutoExpress - Hot Dogs,"Bangalore Central, JP Nagar","Plot 45/1 & 45/2, Bangalore Central, 45th Cross, JP Nagar, Bangalore",12noon – 10pm (Mon-Sun)
10872,Juice Berg,BTM,"20th Cross, Opposite Axis Bank ATM, N.S Palya, BTM Layout, 2nd Stage, BTM, Bangalore",10am – 10:30pm (Mon-Sun)
10873,Kolakata Biryani Cafe,BTM,"750, 7th Cross, 14th Main, BTM, Bangalore",8am – 10pm (Mon-Sun)
10874,Ruchi Adda,HSR,"32, B3, NBK Complex, 24th Main Road, Parangi Palaya, Sector 2, HSR, Bangalore","12noon – 4pm, 6pm – 1am (Mon-Sun)"
10875,SSV Fast Food,Banashankari,"31, Dwarakanagar, 100 Feet Road, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",11:30am – 3am (Mon-Sun)
10876,Maruthi Kuteera Pure Veg Restaurant,Bommanahalli,"7/47/2/48/3-2, Ground Floor, Sri Heights Building, Naganathapura Village, Begur Hobli, Bommanahalli, Bangalore",7am – 10pm (Mon-Sun)
10877,iCrem Cafe,JP Nagar,"Survey 121/10 & 121/11, Shop 07, Ground Floor, Site 01, Santrupti Nagar, 4th B Main Road, JP Nagar, Bangalore",11am – 11pm (Mon-Sun)
